Company,Region,City,Founded,Employees,Revenue_funding,Web,Genres,Sample_games,Internship,Remote,Ownership,Notes
2K,US / Canada (+ first-party extensions),"Novato, CA (USA)",2005,thousands,NBA 2K + Borderlands etc.,https://2k.com,publishing; sports; shooter,NBA 2K; Borderlands; Civilization (Firaxis),unknown,mixed,Take-Two,"Publishing + studio network (Firaxis, Hangar 13, Visual Concepts)."
3D Realms,US / Canada (+ first-party extensions),Richardson / Aalborg (USA/DK),1987 (Apogee),~30-60,Duke Nukem; Ion Fury publishing,https://3drealms.com,FPS / publishing,Duke Nukem 3D; Ion Fury; Wrath,unknown,hybrid,independent (DNA/Embracer periodic),Apogee legacy; boomer shooter publishing.
Activision,US / Canada (+ first-party extensions),"Santa Monica, CA (USA)",1979,thousands (within MS Gaming),Call of Duty annual billions $,https://www.activision.com,AAA FPS / live service,Call of Duty series,unknown (Microsoft internship channels),office weighted,Microsoft,COD franchise; Infinity Ward / Treyarch / Raven network.
Activision Central Tech,US / Canada (+ first-party extensions),USA / global,—,in Activision,motor / online tech,https://www.activision.com,technology,COD engine/online infrastructure,unknown,mixed,Microsoft / Activision,Activision central technology.
Amazon Games,US / Canada (+ first-party extensions),"Seattle, WA (USA)",2012 (Amazon Game Studios),~1000+ range,Twitch + New World / publishing,https://www.amazon.com/gaming,MMORPG / publishing,New World; Lost Ark (western publishing); Throne and Liberty (publishing),unknown,mixed,Amazon,Publishing + first party; studio closures periodic.
Apogee Entertainment,US / Canada (+ first-party extensions),USA,2019 (again),small,classic IP publishing,https://apogee.com,publishing / classic,various Apogee IP revitalization,unknown,hybrid,3D Realms affiliated,Return of the Apogee brand.
AppLovin,US / Canada (+ first-party extensions),"Palo Alto, CA (USA)",2012,~1500+,mobile advertising / AXON,https://www.applovin.com,mobile advertising; SDK,AppLovin MAX; AXON,unknown,hybrid,public (APP),Mobile game advertising/scaling.
ArenaNet,US / Canada (+ first-party extensions),"Bellevue, WA (USA)",2000,~300+,Guild Wars,https://www.arena.net,MMORPG,Guild Wars 2,unknown,office,NCSoft,NCSoft's western MMO studio.
Arkane Austin,US / Canada (+ first-party extensions),"Austin, TX (USA)",2006,~100-150,Prey; Redfall,https://www.arkane-studios.com,immersive sim,Prey (2017); Redfall,unknown,office,Microsoft / ZeniMax,Arkane USA; periods of downsizing should be monitored.
Arkane Studios,US / Canada (+ first-party extensions),"Lyon (France) / Austin, TX",1999,~200–300,unknown (ZeniMax),https://www.arkane-studios.com,immersive sim,Dishonored; Prey; Deathloop; Redfall,unknown,office,Microsoft / ZeniMax,Lyon + Austin; immersive sim tradition.
Armature Studio,US / Canada (+ first-party extensions),"Austin, TX (USA)",2008,~50-100,port / IP,https://www.armature.com,port; action,ReCore; various ports,unknown,office,independent,Austin co-dev/port.
Avalanche Software,US / Canada (+ first-party extensions),"Salt Lake City, UT (USA)",1995,~200+,Hogwarts Legacy,https://avalanchesoftware.com,AAA open world,Hogwarts Legacy; DisneyInfinity (historical),unknown,office,Warner Bros. Games,Portkey / Hogwarts developer.
Beamdog,US / Canada (+ first-party extensions),"Edmonton, AB (Canada)",2009,~50-80,Infinity Engine EE,https://beamdog.com,CRPG,Baldur's Gate EE; Neverwinter Nights EE,unknown,hybrid,independent,Classic CRPG remake.
Beenox,US / Canada (+ first-party extensions),"Québec City, QC (Canada)",2000,~400+,porting + development,https://beenox.com,port / action,Spider-Man PC ports; Crash Team Racing Nitro-Fueled,unknown,office,Microsoft / Activision,Canada port and support center.
Behaviour Interactive,US / Canada (+ first-party extensions),"Montréal, QC (Canada)",1992,~1200+,Dead by Daylight,https://www.bhvr.com,asymmetrical horror / live ops,Dead by Daylight,yes — internship (Montréal),hybrid,private,One of the largest independents in Montréal.
Bend Studio,US / Canada (+ first-party extensions),"Bend, OR (USA)",1993,~100–150,unknown (SIE),https://bendstudio.com,action-adventure,Days Gone; Syphon Filter (historical),unknown,office,Sony / PlayStation Studios,PlayStation first party.
Bethesda Game Studios,US / Canada (+ first-party extensions),"Rockville, MD (USA)",2001,~400+,TES / Fallout / Starfield,https://bethesdagamestudios.com,AAA RPG,Skyrim; Fallout 4; Starfield,unknown,office,Microsoft / ZeniMax,BGS main studio (Softworks publishing separate).
Bethesda Game Studios Austin,US / Canada (+ first-party extensions),"Austin, TX (USA)",2012 (BattleCry legacy),~100-200,Fallout 76,https://bethesdagamestudios.com,AAA / live,Fallout 76,unknown,office,Microsoft / ZeniMax,BGS Austin.
Bethesda Game Studios Dallas,US / Canada (+ first-party extensions),"Dallas, TX (USA)",2018 (Escalation legacy),~50-100,BGS support,https://bethesdagamestudios.com,AAA support,Fallout/TES support,unknown,office,Microsoft / ZeniMax,BGS Dallas.
Bethesda Softworks / BGS,US / Canada (+ first-party extensions),"Rockville, MD (USA)",1986,thousands (ZeniMax group),Starfield / TES / Fallout portfolio,https://bethesda.net,AAA RPG / FPS,The Elder Scrolls; Fallout; Starfield,unknown,office,Microsoft / ZeniMax,"Open world RPG; id, Arkane, MachineGames sibling studios."
Big Fish Games,US / Canada (+ first-party extensions),"Seattle, WA (USA)",2002,~300-500,casual / HOPA,https://www.bigfishgames.com,casual; hidden object,many HOPA; Casino,unknown,office,Aristocrat (acquisition),Casual portal + development.
BioWare,US / Canada (+ first-party extensions),"Edmonton, AB (Canada)",1995,~400–600 range,unknown (EA),https://www.bioware.com,AAA RPG,Mass Effect; Dragon Age; Star Wars: The Old Republic,unknown,office,EA,Narrative RPG tradition.
BioWare Austin,US / Canada (+ first-party extensions),"Austin, TX (USA)",2006,~100-200,SWTOR,https://www.bioware.com,MMORPG / RPG,Star Wars: The Old Republic,unknown,office,EA,BioWare MMO studio.
Blackbird Interactive,US / Canada (+ first-party extensions),"Vancouver, BC (Canada)",2010,~100+,Homeworld 3,https://blackbirdinteractive.com,RTS / space,Homeworld 3; Hardspace: Shipbreaker,unknown,office,independent,Homeworld legacy.
Blind Squirrel Games,US / Canada (+ first-party extensions),"Santa Ana, CA (USA)",2010,~100-200,remaster / co-dev,https://blindsquirrelgames.com,remaster; port,various remasters,unknown,office,independent,Remaster/co-dev.
Blizzard Albany,US / Canada (+ first-party extensions),"Albany, NY (USA)",—,Vicarious / Blizzard internal,Diablo support,https://www.blizzard.com,AAA support,Diablo IV support,unknown,office,Microsoft / Blizzard,Post-merger of Vicarious Visions and Blizzard.
Blizzard Entertainment,US / Canada (+ first-party extensions),"Irvine, CA (USA)",1991,~4000 band (historical; changes after AD),WoW + Overwatch + Diablo live service,https://blizzard.com,MMORPG / hero shooter / ARPG,World of Warcraft; Overwatch; Diablo; StarCraft,yes — internship history,office-heavy (Irvine),Microsoft / Activision Blizzard,Flagship studios of PC culture.
Bluepoint Games,US / Canada (+ first-party extensions),"Austin, TX (USA)",2006,~150–200,unknown (SIE),https://bluepointgames.com,remake / AAA,Demon's Souls remake; Shadow of the Colossus remake,unknown,office,Sony / PlayStation Studios,High fidelity remake specialist.
Bonfire Studios,US / Canada (+ first-party extensions),"Orange County, CA (USA)",2018,~50-100,MMO / live,https://www.bonfirestudios.com,MMO,in development,unknown,office,special (Tencent),Former Blizzard talent.
Boss Fight Entertainment,US / Canada (+ first-party extensions),"McKinney, TX (USA)",2013,~50-100,Dungeon Defenders,https://www.bossfightentertainment.com,action / TD,Dungeon Defenders series,unknown,office,independent,Texas studio.
Bungie,US / Canada (+ first-party extensions),"Bellevue, WA (USA)",1991,~900–1100 range,Destiny live service,https://www.bungie.net,looter-shooter / live service,Destiny 2; (historical) Halo,yes — internship history,hybrid possibility,Sony (2022),From independent culture under Sony.
Camouflaj,US / Canada (+ first-party extensions),"Bellevue, WA (USA)",2009,~30-60,République; Iron Man VR,https://camouflaj.com,stealth / VR,République; Iron Man VR,unknown,office,independent,VR + mobile stealth.
Campo Santo,US / Canada (+ first-party extensions),"San Francisco, CA (USA)",2013,Valve internal,Firewatch,https://www.camposanto.com,narrative,Firewatch,unknown,office,Valve,2018 Valve acquisition.
Candywriter,US / Canada (+ first-party extensions),"Miami, FL (USA)",2014,~50-100,idle mobile,https://candywriter.com,mobile idle,various idle RPG,unknown,hybrid,independent,Idle mobile.
Capybara Games,US / Canada (+ first-party extensions),"Toronto, ON (Canada)",2003,~30-50,Below; Super Time Force,https://www.capybaragames.com,indie action,Below; Super Time Force Ultra,unknown,office,independent,Toronto long-term indie.
Certain Affinity,US / Canada (+ first-party extensions),"Austin, TX (USA)",2006,~200+,unknown,https://certainaffinity.com,AAA FPS / support,Halo support; Age of Darkness,unknown,office,independent,Austin AAA support/co-development.
Cliffhanger Games,US / Canada (+ first-party extensions),"Seattle, WA (USA)",2021,~50-100,Xbox first party,https://www.xbox.com,AAA,unannounced project,unknown,office,Microsoft,Xbox Seattle studio.
Cloud Chamber,US / Canada (+ first-party extensions),"Novato, CA (USA)",2019,~100-200,BioShock remake,https://cloudchamberstudio.com,AAA FPS / immersive sim,BioShock 4 (development),unknown,office,Take-Two / 2K,BioShock next-gen studio.
Cloud Imperium Games,US / Canada (+ first-party extensions),Los Angeles / Frankfurt / Manchester,2012,~800+,Star Citizen crowdfunding records,https://robertsspaceindustries.com,MMO space sim,Star Citizen; Squadron 42,unknown,multi-office,private (Chris Roberts),The largest crowdfunded game project in history.
Codemasters,US / Canada (+ first-party extensions),Southam (UK; EA),1986,~700+,racing sim,https://www.codemasters.com,racing sim,EA Sports F1; Dirt; Grid,unknown,office,EA,2021 EA acquisition; F1 license.
Compulsion Games,US / Canada (+ first-party extensions),"Montréal, QC (Canada)",2009,~100–150,unknown (Microsoft),https://compulsiongames.com,action-adventure,We Happy Few; South of Midnight,unknown,office,Microsoft,Montreal Xbox studio.
ConcernedApe,US / Canada (+ first-party extensions),Seattle area (USA),2012 (commercial),1–10,Stardew Valley long queue,https://www.stardewvalley.net,farm sim / indie,Stardew Valley,no,solo / small,independent,Single developer megahit model.
Criterion Games,US / Canada (+ first-party extensions),Guildford (UK; EA),1993,~150–200,Need for Speed,https://www.criteriongames.com,arcade racing,Need for Speed; Burnout (historical),unknown,office,EA,Frostbite racing.
Cryptic Studios,US / Canada (+ first-party extensions),"Los Gatos, CA (USA)",2000,~150-250,Star Trek Online; Neverwinter,https://www.crypticstudios.com,MMORPG,Star Trek Online; Neverwinter; Star Trek Online,unknown,office,Embracer / Perfect World history; not Dark and Light — EG7/Daybreak periodic,MMO studio; ownership changes.
Crystal Dynamics,US / Canada (+ first-party extensions),"San Mateo, CA (USA)",1992,~300+,Tomb Raider,https://crystald.com,AAA action-adventure,Tomb Raider; Legacy of Kain (historical),unknown,office,Embracer,Lara Croft studio.
Daybreak Game Company,US / Canada (+ first-party extensions),"San Diego, CA (USA)",1997 (SOE legacy),~400+,live MMO,https://www.daybreakgames.com,MMORPG / live service,EverQuest; PlanetSide 2; The Outer Worlds 2 (joint period),unknown,office,Enad Global 7,Classic MMO operator.
Deck Nine Games,US / Canada (+ first-party extensions),"Westminster, CO (USA)",2012,~100-150,Life is Strange sequel,https://www.deckninegames.com,narrative adventure,Life is Strange: True Colors; Double Exposure,unknown,office,private,Studio carrying the LIS baton.
DICE,US / Canada (+ first-party extensions),Stockholm (Sweden; EA),1992,~700 range,Battlefield franchise,https://www.dice.se,AAA FPS,Battlefield; (historical) Mirror's Edge,unknown,office,EA,Frostbite engine; Swedish AAA.
DICE Los Angeles,US / Canada (+ first-party extensions),"Los Angeles, CA (USA)",2013 (Danger Close legacy),~150-250,Battlefield support,https://www.dice.se,AAA FPS,Battlefield (joint),unknown,office,EA,DICE LA; history related to Ripple Effect.
Digital Extremes,US / Canada (+ first-party extensions),"London, ON (Canada)",1993,~400+,Warframe live service,https://www.digitalextremes.com,looter-shooter / F2P,Warframe; Soulframe (development),yes — internship history,office / hybrid,Tencent minority / private,Canadian F2P success story.
Dodgeroll,US / Canada (+ first-party extensions),Vancouver / remote,2011,small,Enter the Gungeon,https://dodgeroll.com,roguelike,Enter the Gungeon,unknown,remote,independent,Roguelike shooter.
Double Fine,US / Canada (+ first-party extensions),"San Francisco, CA (USA)",2000,~100–150,unknown (Microsoft),https://doublefine.com,indie-AAA adventure,Psychonauts; Broken Age,unknown,office,Microsoft,Tim Schafer; Kickstarter era icon.
Double Helix Games,US / Canada (+ first-party extensions),"Irvine, CA (USA)",2007,Sold to Amazon (2014),Killer Instinct,,action,Killer Instinct (2013),-,-,Amazon,Historical; Amazon Games roots.
