Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
2K,North America,"Novato, CA (USA)",2005,thousands,NBA 2K + Borderlands etc.,https://2k.com,press@2k.com (press),publishing; sports; shooter,NBA 2K; Borderlands; Civilization; Mafia; Borderlands 3; Civilization VI; Mafia: Definitive Edition; WWE 2K,unknown,mixed,Take-Two,"Publishing + studio network (Firaxis, Hangar 13, Visual Concepts)."
3D Realms,North America,Richardson / Aalborg (USA/DK),1987 (Apogee),~30-60,Duke Nukem; Ion Fury publishing,https://3drealms.com,press@3drealms.com (press),FPS / publishing,Ion Fury; Bombshell; Duke Nukem legacy; Duke Nukem 3D; Wrath,unknown,hybrid,independent (DNA/Embracer periodic),Apogee legacy; boomer shooter publishing.
Activision,North America,"Santa Monica, CA (USA)",1979,thousands (within MS Gaming),Call of Duty annual billions $,https://www.activision.com,press@activision.com (press),AAA FPS / live service,Call of Duty; Crash; Spyro; Tony Hawk; Call of Duty: Black Ops 6; Call of Duty: Modern Warfare III; Warzone; Crash Bandicoot 4,unknown (Microsoft internship channels),office weighted,Microsoft,Call of Duty franchise core; studio mesh under Microsoft Gaming.
Activision Central Tech,North America,USA / global,—,in Activision,motor / online tech,https://www.activision.com,press@activision.com (press),technology,Call of Duty online services; Warzone backend; COD engine tools; multiplayer infrastructure; shared engine tech; matchmaking; live backend; COD engine/online infrastructure,unknown,mixed,Microsoft / Activision,Activision central technology.
Amazon Games,North America,"Seattle, WA (USA)",2012 (Amazon Game Studios),~1000+ range,Twitch + New World / publishing,https://www.amazon.com/gaming,press@amazon.com (press),MMORPG / publishing,New World; Lost Ark west; Throne and Liberty west; Lost Ark (west); Throne and Liberty (west); Lost Ark (western publishing); Throne and Liberty (publishing),unknown,mixed,Amazon,AWS-adjacent games org; New World and western publishing.
Apogee Entertainment,North America,USA,2019 (again),small,classic IP publishing,https://apogee.com,press@apogeeentertainment.com (press),publishing / classic,Duke Nukem (legacy publish); Rise of the Triad; Crystal Caves; Commander Keen (legacy); Apogee / 3D Realms publishing revival; various Apogee IP revitalization,unknown,hybrid,3D Realms affiliated,Return of the Apogee brand.
AppLovin,North America,"Palo Alto, CA (USA)",2012,~1500+,mobile advertising / AXON,https://www.applovin.com,press@applovin.com (press),mobile advertising; SDK,AXON; MAX mediation; game marketing stack; mobile ad mediation; AppLovin MAX,unknown,hybrid,public (APP),Mobile game advertising/scaling.
ArenaNet,North America,"Bellevue, WA (USA)",2000,~300+,Guild Wars,https://www.arena.net,press@arena.net (press),MMORPG,Guild Wars; Guild Wars 2; End of Dragons; Secrets of the Obscure,unknown,office,NCSoft,NCSoft's western MMO studio.
Arkane Austin,North America,"Austin, TX (USA)",2006,~100-150,Prey; Redfall,https://www.arkane-studios.com,press@bethesda.net (press),immersive sim,Prey (2017); Redfall; Prey Mooncrash; Prey,unknown,office,Microsoft / ZeniMax,Arkane USA; periods of downsizing should be monitored.
Arkane Studios,North America,"Lyon (France) / Austin, TX",1999,~200–300,unknown (ZeniMax),https://www.arkane-studios.com,press@bethesda.net (press),immersive sim,Dishonored; Dishonored 2; Prey; Deathloop; Redfall,unknown,office,Microsoft / ZeniMax,Immersive-sim specialists; Dishonored and Prey lineage.
Armature Studio,North America,"Austin, TX (USA)",2008,~50-100,port / IP,https://www.armature.com,unknown,port; action,ReCore; Batman: Arkham VR; Remnant co-dev; ports; various ports,unknown,office,independent,Austin co-dev/port.
Avalanche Software,North America,"Salt Lake City, UT (USA)",1995,~200+,Hogwarts Legacy,https://avalanchesoftware.com,press@warnerbros.com (press),AAA open world,Hogwarts Legacy; Disney Infinity; DisneyInfinity (historical); DisneyInfinity (tarihsel),unknown,office,Warner Bros. Games,Portkey / Hogwarts developer.
Beamdog,North America,"Edmonton, AB (Canada)",2009,~50-80,Infinity Engine EE,https://beamdog.com,press@beamdog.com (press),CRPG,Baldur's Gate Enhanced Edition; Siege of Dragonspear; Pathfinder support; Baldur's Gate Enhanced Editions; Baldur's Gate EE; Neverwinter Nights EE,unknown,hybrid,independent,Classic CRPG remake.
Beenox,North America,"Québec City, QC (Canada)",2000,~400+,porting + development,https://beenox.com,press@activision.com (press),port / action,Crash Team Racing Nitro-Fueled; COD support; Spider-Man PC ports,unknown,office,Microsoft / Activision,Canada port and support center.
Behaviour Interactive,North America,"Montréal, QC (Canada)",1992,~1200+,Dead by Daylight,https://www.bhvr.com,press@bhvr.com (press),asymmetrical horror / live ops,Dead by Daylight; Meet Your Maker; Deathgarden,yes — internship (Montréal),hybrid,private,Dead by Daylight asymmetric horror live-service leader.
Bend Studio,North America,"Bend, OR (USA)",1993,~100–150,unknown (SIE),https://bendstudio.com,press@playstation.com (press),action-adventure,Days Gone; Syphon Filter; Uncharted: Golden Abyss; Syphon Filter (historical); Syphon Filter (tarihsel),unknown,office,Sony / PlayStation Studios,PlayStation first party.
Bethesda Game Studios,North America,"Rockville, MD (USA)",2001,~400+,TES / Fallout / Starfield,https://bethesdagamestudios.com,press@bethesda.net (press),AAA RPG,Skyrim; Fallout 4; Starfield; Fallout 76,unknown,office,Microsoft / ZeniMax,BGS main studio (Softworks publishing separate).
Bethesda Game Studios Austin,North America,"Austin, TX (USA)",2012 (BattleCry legacy),~100-200,Fallout 76,https://bethesdagamestudios.com,press@bethesda.net (press),AAA / live,Fallout 76; Fallout 76: Wastelanders; Fallout 76: Steel Dawn; Fallout 76: Atlantic City; Starfield support; ESO contribution; online live-ops,unknown,office,Microsoft / ZeniMax,BGS Austin supports Fallout 76 live-service development.
Bethesda Game Studios Dallas,North America,"Dallas, TX (USA)",2018 (Escalation legacy),~50-100,BGS support,https://bethesdagamestudios.com,press@bethesda.net (press),AAA support,Fallout Shelter; Fallout 76 support; Bethesda mobile/online; online support; Fallout/TES support; Fallout/TES destek,unknown,office,Microsoft / ZeniMax,BGS Dallas contributes to Bethesda shared-world tech.
Bethesda Softworks / BGS,North America,"Rockville, MD (USA)",1986,thousands (ZeniMax group),Starfield / TES / Fallout portfolio,https://bethesda.net,press@bethesda.net (press),AAA RPG / FPS,Skyrim; Fallout 4; Starfield; Fallout 76; Doom (publish); Wolfenstein (publish); The Elder Scrolls; Fallout,unknown,office,Microsoft / ZeniMax,Open-world RPG publisher/studio; id/Arkane/MachineGames siblings.
Big Fish Games,North America,"Seattle, WA (USA)",2002,~300-500,casual / HOPA,https://www.bigfishgames.com,press@bigfishgames.com (press),casual; hidden object,Mystery Case Files; Fairway Solitaire; hidden-object portfolio; many HOPA; Casino,unknown,office,Aristocrat (acquisition),Casual portal + development.
