Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
Dream Games,Istanbul,Istanbul (Şişli; London office),2019,350+ (Mobidictum 2025),Royal Match ~$700M H1 2025 estimate; CVC agreement ~$5B valuation (2025),https://dreamgames.com,contact@dreamgames.com (general); info@dreamgames.com (general); hr@dreamgames.com (HR),mobile puzzle / match-3,Royal Match; Royal Kingdom,unknown (career page to be monitored),unknown; large office culture dominant,CVC strategic partner (2025),Turkey's largest game company by employee count; global puzzle leader. London office; CVC strategic partnership ~$5B valuation (2025).
Peak Games,Istanbul,Istanbul,2010,220+ (Mobidictum 2025),Zynga acquisition $1.8B (2020); game revenues in billions $,https://peak.com,contact@peak.com (general); press@peak.com (press); partnerships@peak.com (partnerships); hr@peak.com (HR),mobile match-3 / puzzle,Toy Blast; Toon Blast; Match Factory!; Lost Bubble; Lost Jewels; Spades Plus; Gin Rummy Plus; Okey Plus,"yes — summer internship (office, 2024 example); TOGED internship history",office-focused (full-time in-office for internship),Zynga / Take-Two,Turkey's first game unicorn; a talent source for many new studios. Under Zynga/Take-Two; Toy Blast & Toon Blast evergreen.
Zuuks Games,Istanbul,Istanbul,2014,230+ (Mobidictum 2025),850M+ downloads; ~95M MAU (company statement),https://zuuksgames.com,support@zuuks.com (support); dmca@zuuks.com (legal),mobile simulation,Bus Simulator: Ultimate; Truck Simulator Ultimate; City Bus Driver Simulator; Off The Road; Minibus Simulator,unknown,unknown,independent,Among Turkey's largest simulation teams; global volume via Bus/Truck Simulator Ultimate. Global sim volume via Bus/Truck Simulator Ultimate.
Good Job Games,Istanbul,Istanbul (Levent/Sarıyer),2017,200+ (Mobidictum 2025),$83M total funding (2025); hypercasual portfolio sale (Azur),https://goodjobgames.com,contact@goodjobgames.com (general); people@goodjobgames.com (HR),mobile casual / puzzle / hybrid,Match Villains; Wonder Blast; Zen Match; Fun Race 3D; Let's Be Cops 3D; Draw Joust,unknown,"mixed — some positions advertised remote, office also available",independent,Hyper-casual → evergreen transition after organic growth; Levent office; Match Villains / Wonder Blast.
Gram Games,Istanbul,Istanbul; London,2012,160+ (Mobidictum 2025),Zynga acquisition ~$250M (2018),https://gram.gs,pr@gram.gs (press); jobs@gram.gs (HR); support@gram.gs (support),mobile merge / puzzle,1010!; Merge Dragons!; Merge Magic!,yes — TOGED internship history,unknown,Zynga / Take-Two,Early global successes of the merge genre. Zynga acquisition; Merge Dragons! global brand.
Rollic,Istanbul,Istanbul,2018,140+ (Mobidictum 2025),Zynga 80% stake ~$168–180M (2020),https://rollicgames.com,unknown,hypercasual / hybrid-casual,Tangle Master 3D; Color Block Jam; High Heels; Idle Lumber Empire; Hair Challenge; Screw Them All,unknown; TOGED member,unknown,Zynga / Take-Two,Zynga/Take-Two publishing arm; studio acquisitions include Popcore.
Joygame,Istanbul,Istanbul,2009,120+ (Mobidictum 2025),unknown; news of public offering application to SPK in 2025,https://joygame.com,bizdev@joygame.com (bizdev),publishing; browser; casual; MMO,Wolfteam; Legend Online; Supremacy: World War 3,unknown,unknown,independent,Long-standing local publisher; development + publishing partnerships. Publisher-developer of the Wolfteam / Legend Online era.
Spyke Games,Istanbul,Istanbul (Şişli),2020,80+ (Mobidictum 2025),$100M+ total funding; Moon Active $50M (2024),https://spykegames.com,info@spykegames.com (general); support@spykegames.com (support),mobile casual / puzzle,Tile Busters; Blitz Busters; Royal Riches; Cube Busters,unknown,unknown,independent (Moon Active partner),Peak Games alumni; forever-franchise match/puzzle focus.
Ace Games,Istanbul,Istanbul,2020,~50–75,$32–41M total fund; Playtika investment,https://ace.games,info@ace.games (general); support@ace.games (support); hr@ace.games (HR),mobile casual / puzzle / farm,Fiona's Farm; Travel Town; Clue Chase,unknown,unknown,independent (Playtika minority),Founded by ex-Peak COO Hakan Baş. Travel Town / Fiona's Farm; Clue Chase (Hasbro CLUE licensed).
Bigger Games,Istanbul,Istanbul (Şişli),2019,~40–58,$25M Series A (2025); Index seed $6M,https://biggergames.com,info@biggergames.com (general),mobile casual / match-3 / merge,Kitchen Masters; Mergedom; Match Masters,unknown,unknown,independent,Ex-Peak team; forever-franchise push via Match Masters.
Crytek Istanbul,Istanbul,Istanbul,2012/2013,unknown (Crytek global ~405),unknown,https://crytek.com,infoistanbul@crytek.com (general); contact@crytek.com (general); press@crytek.com (press); business@crytek.com (business),AAA / F2P online; CryEngine,Warface; Hunt: Showdown; CRYENGINE,yes — TOGED internship history,unknown,Crytek GmbH subsidiary,Turkish-founded Crytek's Istanbul studio. Contributes to CRYENGINE and Warface/Hunt ecosystem.
MadByte Games,Istanbul,Istanbul (Maslak),2012,~40,unknown,https://madbytegames.com,info@madbytegames.com (general),MMOFPS,Zula; Zula Mobile; Calypso: Brethren of the Coast; Zula Strike,unknown (career page exists),unknown,independent,One of Turkey's known MMOFPS studios.
