Firma,Bölge,Şehir,Kuruluş,Çalışan,Gelir_fon,Web,Türler,Örnek_oyunlar,Staj,Uzaktan,Sahiplik,Not
Dream Games,İstanbul,İstanbul (Şişli; Londra ofisi),2019,350+ (Mobidictum 2025),Royal Match ~$700M H1 2025 tahmini; CVC anlaşması ~$5B değerleme (2025),https://dreamgames.com,mobil puzzle / match-3,Royal Match; Royal Kingdom,bilinmiyor (kariyer sayfası izlenmeli),bilinmiyor; büyük ofis kültürü baskın,CVC stratejik ortak (2025),Türkiye'nin çalışan sayısına göre en büyük oyun şirketi; küresel puzzle lideri.
Peak Games,İstanbul,İstanbul,2010,220+ (Mobidictum 2025),Zynga satın alımı $1.8B (2020); oyun gelirleri milyarlarca $,https://peak.com,mobil match-3 / puzzle,Toy Blast; Toon Blast,"evet — yaz stajı (ofis, 2024 örneği); TOGED staj geçmişi",ofis odaklı (staj için ofiste tam zamanlı),Zynga / Take-Two,Türkiye'nin ilk oyun unicorn'u; birçok yeni stüdyonun yetenek kaynağı.
Zuuks Games,İstanbul,İstanbul,2014,230+ (Mobidictum 2025),850M+ indirme; ~95M MAU (şirket beyanı),https://zuuksgames.com,mobil simülasyon,Bus Simulator: Ultimate; Truck Simulator,bilinmiyor,bilinmiyor,bağımsız,Simülasyon türünde Türkiye'nin en büyük ekiplerinden.
Good Job Games,İstanbul,İstanbul (Levent/Sarıyer),2017,200+ (Mobidictum 2025),$83M toplam fon (2025); hypercasual portföy satışı (Azur),https://goodjobgames.com,mobil casual / puzzle / hybrid,Match Villains; Wonder Blast; Zen Match; Fun Race 3D,bilinmiyor,"karışık — bazı pozisyonlar remote ilan edilmiş, ofis de var",bağımsız,Organik büyüyüp sonra büyük yatırım alan hiper-casual → evergreen geçiş örneği.
Gram Games,İstanbul,İstanbul; Londra,2012,160+ (Mobidictum 2025),Zynga satın alımı ~$250M (2018),https://gram.gs,mobil merge / puzzle,1010!; Merge Dragons!; Merge Magic!,evet — TOGED staj geçmişi,bilinmiyor,Zynga / Take-Two,Merge türünün erken küresel başarılarından.
Rollic,İstanbul,İstanbul,2018,140+ (Mobidictum 2025),Zynga %80 hissesi ~$168–180M (2020),https://rollicgames.com,hypercasual / hybrid-casual,Tangle Master 3D; Color Block Jam; High Heels,bilinmiyor; TOGED üyesi,bilinmiyor,Zynga / Take-Two,Popcore dahil stüdyo satın alımlarıyla büyüyen yayıncı-geliştirici.
Joygame,İstanbul,İstanbul,2009,120+ (Mobidictum 2025),bilinmiyor; 2025'te SPK'ya halka arz başvurusu haberi,https://joygame.com,yayıncılık; browser; casual; MMO,Wolfteam; Legend Online,bilinmiyor,bilinmiyor,bağımsız,Uzun soluklu yerli yayıncı; geliştirme + yayın ortaklıkları.
Spyke Games,İstanbul,İstanbul (Şişli),2020,80+ (Mobidictum 2025),$100M+ toplam fon; Moon Active $50M (2024),https://spykegames.com,mobil casual / puzzle,Tile Busters; Blitz Busters; Royal Riches,bilinmiyor,bilinmiyor,bağımsız (Moon Active ortağı),Peak veteranları; forever-franchise hedefi.
Ace Games,İstanbul,İstanbul,2020,~50–75,$32–41M toplam fon; Playtika yatırımı,https://ace.games,mobil casual / puzzle / farm,Fiona's Farm,bilinmiyor,bilinmiyor,bağımsız (Playtika azınlık),Eski Peak COO Hakan Baş kurucusu.
Bigger Games,İstanbul,İstanbul (Şişli),2019,~40–58,$25M Series A (2025); Index tohum $6M,https://biggergames.com,mobil casual / match-3 / merge,Kitchen Masters; Mergedom,bilinmiyor,bilinmiyor,bağımsız,Eski Peak ekibinden; evergreen match'e geçiş.
Crytek Istanbul,İstanbul,İstanbul,2012/2013,bilinmiyor (Crytek global ~405),bilinmiyor,https://crytek.com,AAA / F2P online; CryEngine,Warface katkısı; Hunt ekosistemi,evet — TOGED staj geçmişi,bilinmiyor,Crytek GmbH iştiraki,Türk kuruculu Crytek'in İstanbul stüdyosu.
MadByte Games,İstanbul,İstanbul (Maslak),2012,~40,bilinmiyor,https://madbytegames.com,MMOFPS,Zula,bilinmiyor (kariyer sayfası var),bilinmiyor,bağımsız,Türkiye'nin bilinen MMOFPS stüdyolarından.
Fugo Games,İstanbul,İstanbul,2010,~58,bilinmiyor; 230M+ indirme iddiası,https://fugo.com,mobil kelime / puzzle,Words of Wonders; Words of Wonders: Search,bilinmiyor,bilinmiyor,bağımsız,Kelime oyunu portföyüyle uzun soluklu yayıncı-geliştirici.
Vertigo Games,İstanbul,İstanbul (Beşiktaş),2013,~63,bilinmiyor,https://vertigogames.co,mid-core; gerçek zamanlı sosyal FPS,Critical Strike,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,Rekabetçi sosyal mobil FPS.
Grand Games,İstanbul,İstanbul,2024,~14–40+,$103M toplam yatırım (2025 haberleri),https://grand.gs,hybrid-casual / puzzle,Magic Sort; Car Match,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,Hücre (cell) modeliyle paralel ekipler.
Agave Games,İstanbul,İstanbul,2021,bilinmiyor,$18M Series A (2024),https://agavegames.com,casual / puzzle / find,Find The Cat; What The Hex,bilinmiyor,bilinmiyor,bağımsız,Find the Cat ile hızlı ölçeklenen yeni nesil.
Cypher Games,İstanbul,İstanbul,2022,bilinmiyor,$30M Series A (2025) + $10M seed,https://cyphergames.com,casual puzzle / şans / sosyal,Match Squad,bilinmiyor,bilinmiyor,bağımsız,Match-3 + zar mekaniği.
Loom Games,İstanbul,İstanbul,2025,bilinmiyor,Scopely çoğunluk; $1B+ değerleme haberleri,https://loom.games,hybrid-casual puzzle,Pixel Flow!,bilinmiyor,bilinmiyor,Scopely çoğunluk,Pixel Flow sonrası olağanüstü hızlı exit/ölçek.
TaleMonster Games,İstanbul,İstanbul,2024,~32,$30M+ Series A bandı (2026 haberleri),https://talemonster.games,casual puzzle / tower-defense öğeleri,Match Valley,bilinmiyor,bilinmiyor,bağımsız,Eski Peak geliştiricileri.
Circle Games,İstanbul,İstanbul,bilinmiyor,~24,$14.6M toplam fon (LinkedIn),https://circle.gs,3D organize / match puzzle,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Eski Good Job / Gram kökenli kurucu profili (sektör haberi).
Pine Games,İstanbul,İstanbul,2024,~21,$2.25M seed,https://pinegames.com,mobil merge / adventure,Viking Island: Merge Adventure; Word Weaver; Number Paint,bilinmiyor,bilinmiyor,bağımsız,Ad-monetised güzel görünümlü casual.
FOMO Games,İstanbul,İstanbul (Şişli),2019,bilinmiyor,$5M yatırım (2022 haberleri),https://fomo.gs,mobil casual / hyper,Traffic Escape!; Color Blocks 3D; Seat Jam 3D,bilinmiyor,ofis (ilanlar İstanbul adresli),bağımsız,Hyper-casual çıkışlı.
Revel Games,İstanbul,İstanbul,2022,bilinmiyor,Garena / Sandbox yatırımı (tutar bilinmiyor),https://revel.gs,casual / merge,Merge Now,bilinmiyor,bilinmiyor,bağımsız,Casual puzzle odaklı.
Mavis Games,İstanbul,İstanbul (Koşuyolu),2018,~10,$2M seed (Habby),https://mavisgames.com,mobil casual / puzzle,Slidey: Block Puzzle,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,Habby destekli retention odaklı casual.
Tiramisu Studios,İstanbul,İstanbul (Kağıthane),2015,~14,bilinmiyor; 100M+ indirme iddiası,https://tiramisu.game,mobil yarış / drift,Drift Max; Drift Max Pro; Drift Max World,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,Drift Max serisi.
Mayadem,İstanbul,İstanbul (Üsküdar),2015,10–50 bandı,bilinmiyor,https://mayadem.com,çocuk / edutainment,TRT Çocuk oyunları,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,Çocuk ve eğitim odaklı oyunlar.
Narcade,İstanbul,İstanbul,2011,10–50 bandı,bilinmiyor,https://narcade.com,mobil casual / bubble-shooter,Farm Blast; Zen Master; Bubble Friends,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,Uzun soluklu mobil yayıncı-geliştirici.
Noho Games,İstanbul,İstanbul (Zeytinburnu),2018,bilinmiyor,bilinmiyor,https://noho.games,mobil,bilinmiyor,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,TOGED üyesi küçük/orta stüdyo.
Yamy Studio,İstanbul,İstanbul (Şişli),2020,~20–25,~$300K fon (LinkedIn),https://yamystudio.com,mobil casual,bilinmiyor,evet — staj ilanı yayınlanmış (Game Developer Intern),bilinmiyor,bağımsız,Aktif staj ilanı geçmişi olan TOGED üyesi.
