Company,Region,City,Founded,Employees,Revenue_funding,Web,Genres,Sample_games,Internship,Remote,Ownership,Notes
Dream Games,Istanbul,Istanbul (Şişli; London office),2019,350+ (Mobidictum 2025),Royal Match ~$700M H1 2025 estimate; CVC agreement ~$5B valuation (2025),https://dreamgames.com,mobile puzzle / match-3,Royal Match; Royal Kingdom,unknown (career page to be monitored),unknown; large office culture dominant,CVC strategic partner (2025),Turkey's largest game company by employee count; global puzzle leader.
Peak Games,Istanbul,Istanbul,2010,220+ (Mobidictum 2025),Zynga acquisition $1.8B (2020); game revenues in billions $,https://peak.com,mobile match-3 / puzzle,Toy Blast; Toon Blast,"yes — summer internship (office, 2024 example); TOGED internship history",office-focused (full-time in-office for internship),Zynga / Take-Two,Turkey's first game unicorn; a talent source for many new studios.
Zuuks Games,Istanbul,Istanbul,2014,230+ (Mobidictum 2025),850M+ downloads; ~95M MAU (company statement),https://zuuksgames.com,mobile simulation,Bus Simulator: Ultimate; Truck Simulator,unknown,unknown,independent,One of Turkey's largest teams in the simulation genre.
Good Job Games,Istanbul,Istanbul (Levent/Sarıyer),2017,200+ (Mobidictum 2025),$83M total funding (2025); hypercasual portfolio sale (Azur),https://goodjobgames.com,mobile casual / puzzle / hybrid,Match Villains; Wonder Blast; Zen Match; Fun Race 3D,unknown,"mixed — some positions advertised remote, office also available",independent,An example of organic growth followed by significant investment in hyper-casual → evergreen transition.
Gram Games,Istanbul,Istanbul; London,2012,160+ (Mobidictum 2025),Zynga acquisition ~$250M (2018),https://gram.gs,mobile merge / puzzle,1010!; Merge Dragons!; Merge Magic!,yes — TOGED internship history,unknown,Zynga / Take-Two,Early global successes of the merge genre.
Rollic,Istanbul,Istanbul,2018,140+ (Mobidictum 2025),Zynga 80% stake ~$168–180M (2020),https://rollicgames.com,hypercasual / hybrid-casual,Tangle Master 3D; Color Block Jam; High Heels,unknown; TOGED member,unknown,Zynga / Take-Two,Publisher-developer growing through studio acquisitions including Popcore.
Joygame,Istanbul,Istanbul,2009,120+ (Mobidictum 2025),unknown; news of public offering application to SPK in 2025,https://joygame.com,publishing; browser; casual; MMO,Wolfteam; Legend Online,unknown,unknown,independent,Long-standing local publisher; development + publishing partnerships.
Spyke Games,Istanbul,Istanbul (Şişli),2020,80+ (Mobidictum 2025),$100M+ total funding; Moon Active $50M (2024),https://spykegames.com,mobile casual / puzzle,Tile Busters; Blitz Busters; Royal Riches,unknown,unknown,independent (Moon Active partner),Peak veterans; forever-franchise target.
Ace Games,Istanbul,Istanbul,2020,~50–75,$32–41M total fund; Playtika investment,https://ace.games,mobile casual / puzzle / farm,Fiona's Farm,unknown,unknown,independent (Playtika minority),Former Peak COO Hakan Baş founder.
Bigger Games,Istanbul,Istanbul (Şişli),2019,~40–58,$25M Series A (2025); Index seed $6M,https://biggergames.com,mobile casual / match-3 / merge,Kitchen Masters; Mergedom,unknown,unknown,independent,From the old Peak team; transition to evergreen match.
